title,price,year,description,region
Hyundai Tucson,"12 500 у.е.
                            ","
                                                    2009 yil,
                        ","
                                        2 l, Gaz-benzin, 330 000 km, Oq, Yo‘ltanlamas, Uzatish qutisi Avtomat, Tonirovka, Yengil qotishmali disklar, Lyuk, Kse…
                            ",Farg'ona
"Chevrolet Spark, 2 pozitsiya","~8 103 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        1.3 l, Benzin, 73 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali…
                            ",Toshkent
"Chevrolet Nexia 3, 4 pozitsiya","~10 345 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.5 l, Benzin, 76 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna…
                            ",Toshkent
JAC M3 Plus,"18 480 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.8 l, Benzin, Oq, Miniven, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tonirovka, Biksenon, Xrustal optika, L…
                            ",Toshkent
Daewoo Nexia,"3 000 у.е.
                            ","
                                                    1996 yil,
                        ","
                                        Gaz-benzin, Sedan, Hujjatlar joyda Xadavoy yaxshi Motori sons mator Magnitafonlari bor Yoqilgʻi benzin va gaz. Derazal…
                            ",Buxoro
Chevrolet Gentra,"11 900 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        Benzin, 131 000 km, Delfin, Sedan, Uzatish qutisi Avtomat, Tonirovka, Shamolto'sgichlar, Audiosistema, Gidravlikali ru…
                            ",Toshkent
BYD Qin Plus,"~36 638 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Elektr, Kulrang, Sedan, Uzatish qutisi Avtomat, Lyuk, Yukxona, Charm, Gidravlikali rul, ABS, Xavfsizlik yostiqchalari,…
                            ",Toshkent
Mercedes-Benz E 300,"61 000 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        Benzin, 74 000 km, Qora, Uzatish qutisi Avtomat, Tonirovka, Lyuk, Kombinatsiyalangan, Audiosistema, USB, O'rnatma tele…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","16 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oyna is…
                            ",Toshkent
"Chevrolet Epica, 3 pozitsiya","10 600 у.е.
                            ","
                                                    2011 yil,
                        ","
                                        2 l, Benzin, Sedan, Uzatish qutisi Avtomat, Lyuk, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isitgich,…
                            ",Namangan
Hyundai Santa Fe,"38 300 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        2.4 l, Benzin, 74 000 km, Qora, Hatchback, Uzatish qutisi Avtomat, Lyuk, Tom qopqog'i, Pardachalar, Audiosistema, USB,…
                            ",Toshkent
"Chevrolet Matiz, 2 pozitsiya","6 900 у.е.
                            ","
                                                    2016 yil,
                        ","
                                        0.8 l, Benzin, Hatchback, Uzatish qutisi Mexanika, Matiz sotiladi 2016 2 pozitsiya prabeg 65448 halol metan bor 60 tal…
                            ",Qarshi
"Chevrolet Cobalt, 3 pozitsiya","16 200 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, ABS, Konditsione…
                            ",Namangan
BYD Qin Plus,"32 000 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        6 l, Elektr, Mokriy asfalt, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tonirovka, Lyuk, Tom qopqog'i, Y…
                            ",Toshkent
Daewoo Nexia,"4 850 у.е.
                            ","
                                                    2005 yil,
                        ","
                                        Gaz-benzin, Sedan, Краска тоза мотор зур нархи келишамиз
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","15 930 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, 10 700 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chi…
                            ",Toshkent
"Chevrolet Cobalt, 2 pozitsiya","11 400 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, ABS, Konditsione…
                            ",Andijon
RAF 2203,"3 000 у.е.
                            ","
                                                    1983 yil,
                        ","
                                        Gaz, Kulrang, Mikroavtobus, Uzatish qutisi Mexanika, Tonirovka, Yukxona, Charm
                            ",Toshkent
"Chevrolet Spark, 1 pozitsiya","~6 250 у.е.
                            ","
                                                    2013 yil,
                        ","
                                        1.3 l, Benzin, 138 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Audiosistema, Gidravlikali rul, Spark 2013 yil kras…
                            ",Toshkent
"Chevrolet Spark, 2 pozitsiya","~7 345 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.3 l, Benzin, 116 000 km, Kumush rang, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gi…
                            ",Toshkent
Daewoo Labo,"11 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Gaz-benzin, Pikup, 65 литрли газ-балон урнатилган. Янги дискалар чармхоо шиналари билан. борти хромланган калин тунука…
                            ",Toshkent
