title,price,year,description,region
"Chevrolet Matiz, 4 pozitsiya","5 100 у.е.
                            ","
                                                    2010 yil,
                        ","
                                        0.8 l, Benzin, 410 000 km, Hatchback, Uzatish qutisi Mexanika, Duga, Yengil qotishmali disklar, Audiosistema, Konditsi…
                            ",Andijon
"Chevrolet Gentra, 1 pozitsiya","11 200 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.8 l, Gaz-benzin, Saxara (qum rang), Sedan, Uzatish qutisi Mexanika, Shamolto'sgichlar, Yukxona, Oyna isitgich, Charm…
                            ",Toshkent
"Chevrolet Tracker, 2 pozitsiya","~23 707 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1 l, Benzin, 27 000 km, Oq, Hatchback, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tonirovka, Tom qopqog'i, Sha…
                            ",Zarafshon
"Chevrolet Lacetti, 1 pozitsiya","~8 448 у.е.
                            ","
                                                    2013 yil,
                        ","
                                        1.8 l, Benzin, Sedan, Uzatish qutisi Mexanika, Oyna isitgich, Audiosistema, Gidravlikali rul, ABS, Butun elektr paketi…
                            ",Navoiy
Chevrolet Monza,"12 000 у.е.
                            ","
                                                    1991 yil,
                        ","
                                        Benzin, 2024 год, предзаказ, СИП Ташкент 12 дней.1, 5л атмосферный, цвет белый жемчуг, чисто белый, черный. Цвет салон…
                            ",Toshkent
Chevrolet Damas,"9 900 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, Sedan, Дамас янги бугун чикди 31.07.2023 салондан йургани салондан уйга 100% тоза мошин булиши 9900$ ками йок…
                            ",Buxoro
Chevrolet Onix,"18 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, Oq, Sedan, Uzatish qutisi Avtomat, ONIX LTZ bugun salondan chiqdi naqdga sotiladi
                            ",Samarqand
Chevrolet Damas,"~8 621 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        Gaz-benzin, Sedan, Damas Metan gaz mogolend tomonidan Avtolizingga beriladi boshlang'ich to'lov 30.000.000 so'm bilan…
                            ",Toshkent
"Chevrolet Nexia 3, 4 pozitsiya","~10 948 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isitgich, Audi…
                            ",Toshkent
"Chevrolet Matiz, 4 pozitsiya","~6 379 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        0.8 l, Benzin, 150 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Duga, Yengil qotishmali disklar, Audiosistema, Kond…
                            ",Toshkent
"Chevrolet Matiz, 2 pozitsiya","4 600 у.е.
                            ","
                                                    2009 yil,
                        ","
                                        0.8 l, Gaz-benzin, 212 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravl…
                            ",Farg'ona
Chevrolet Equinox,"35 500 у.е.
                            ","
                                                    2021 yil,
                        ","
                                        Gibrid, Krossover, Idealnoe sostoyanie Braun evropeyka baloni Parog elektricheskiy
                            ",Toshkent
Chevrolet Damas,"9 800 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        0.8 l, Gaz-benzin, 60 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tonirovka, Tumanga qa…
                            ",Toshkent
Chevrolet Onix,"~19 397 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, Sedan, Yangi
                            ",Navoiy
"Chevrolet Lacetti, 3 pozitsiya","8 300 у.е.
                            ","
                                                    2009 yil,
                        ","
                                        1.8 l, Gaz-benzin, Oq, Sedan, Uzatish qutisi Avtomat, Tonirovka, Lyuk, Audiosistema, O'rnatma telefon, Bluetooth, MP3,…
                            ",Toshkent
"Chevrolet Nexia 3, 4 pozitsiya","14 500 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, 24 200 km, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oy…
                            ",Toshkent
"Chevrolet Nexia 2, 4 pozitsiya DOHC","9 700 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.6 l, Benzin, 54 000 km, Mokriy asfalt, Sedan, Uzatish qutisi Mexanika, Tonirovka, Tumanga qarshi chiroqlar, Audiosis…
                            ",Toshkent
"Chevrolet Gentra, 3 pozitsiya","17 500 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.6 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oyna isitgich…
                            ",Toshkent
Chevrolet Labo,"10 200 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, 500 km, Oq, Pikup, Uzatish qutisi Mexanika, MP3, Probeg 500km
                            ",Namangan
"Chevrolet Gentra, 3 pozitsiya","17 500 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.6 l, Benzin, Mokriy asfalt, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar…
                            ",Toshkent
Chevrolet Labo,"10 200 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, 500 km, Oq, Pikup, Uzatish qutisi Mexanika, MP3, Probeg 500km
                            ",Namangan
"Chevrolet Gentra, 3 pozitsiya","17 500 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.6 l, Benzin, Mokriy asfalt, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar…
                            ",Toshkent
"Chevrolet Spark, 4 pozitsiya EVRO","10 000 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        1.3 l, Benzin, Hatchback, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isitgich,…
                            ",Buxoro
"Chevrolet Cobalt, 2 pozitsiya","~9 672 у.е.
                            ","
                                                    2014 yil,
                        ","
                                        1.5 l, Benzin, 79 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, A…
                            ",Toshkent
"Chevrolet Spark, 2 pozitsiya","~8 879 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        1.3 l, Benzin, 92 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali…
                            ",Toshkent
"Chevrolet Gentra, 3 pozitsiya","18 500 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.6 l, Benzin, Sedan, Uzatish qutisi Avtomat, Gentira 2023 masla Stayl xamma narsalari bor bez prabeg realniy klent bo…
                            ",Toshkent
Chevrolet Damas,"~7 466 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        0.8 l, Benzin, Mokriy asfalt, Miniven, Uzatish qutisi Mexanika, 1000 dan ortiq mijozlar Ortiqcha yugur-yugurlarsiz ham…
                            ",Guliston
"Chevrolet Tracker, 1 pozitsiya","21 300 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.2 l, Benzin, 17 000 km, Qora, Hatchback, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Velyur, Audiosiste…
                            ",Toshkent
Chevrolet Equinox,"38 000 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        Benzin, Qora, Krossover, Uzatish qutisi Avtomat, В отличном состоянии
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","14 800 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        1.5 l, Benzin, 36 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chi…
                            ",Toshkent
"Chevrolet Gentra, 3 pozitsiya","16 500 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.6 l, Benzin, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oyna is…
                            ",Buxoro
Chevrolet Labo,"~7 538 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        0.8 l, Benzin, Pikup, Uzatish qutisi Mexanika, Xalol Nasiya Islom Qonun Qoidasiga Muvofiq Yillik 10%
                            ",Namangan
"Chevrolet Cobalt, 4 pozitsiya","14 600 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        1.5 l, Gaz-benzin, 60 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi…
                            ",Samarqand
"Chevrolet Cobalt, 4 pozitsiya EVRO","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oyn…
                            ",Toshkent
"Chevrolet Lacetti, 2 pozitsiya","9 800 у.е.
                            ","
                                                    2011 yil,
                        ","
                                        1.8 l, Gaz-benzin, 170 000 km, Oq, Yo‘ltanlamas, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Aud…
                            ",Qo'qon
"Chevrolet Nexia 3, 4 pozitsiya","14 000 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, 34 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isi…
                            ",Navoiy
Chevrolet Monza,"14 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, 10 km, Qora, Sedan, Uzatish qutisi Avtomat, продам Chevrolet Monza, цвет чёрный 1.5 атмосферный, через…
                            ",Toshkent
"Chevrolet Nexia 2, 4 pozitsiya SOHC","~7 155 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.5 l, Benzin, 101 000 km, Kumush rang, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidrav…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","16 200 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oyna is…
                            ",Muborak tumani
"Chevrolet Nexia 2, 1 pozitsiya SOHC","~7 241 у.е.
                            ","
                                                    2014 yil,
                        ","
                                        1.5 l, Benzin, 105 000 km, Kumush rang, Sedan, Uzatish qutisi Mexanika, Audiosistema, Nexia 2 mogoavtolizingga berilad…
                            ",Toshkent
"Chevrolet Epica, 3 pozitsiya","7 500 у.е.
                            ","
                                                    2007 yil,
                        ","
                                        2 l, Benzin, Sedan, Uzatish qutisi Avtomat, Lyuk, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isitgich,…
                            ",Boysun tumani
Chevrolet Labo,"10 150 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, Pikup, Без пробег бор 2 та тайор документ натариусга болиши
                            ",Toshkent
