name,year,type,pozitsiya,fuel_type,transmission,engine_size,region,year
Matiz,2010,Chevrolet,4,Benzin,Mexanika,0.8,Andijon,2010
Gentra,2015,Chevrolet,1,Gaz-benzin,Mexanika,1.8,Toshkent,2015
Tracker,2022,Chevrolet,2,Benzin,Avtomat,1,Zarafshon,2022
Lacetti,2013,Chevrolet,1,Benzin,Mexanika,1.8,Navoiy,2013
Monza,1991,Chevrolet,1,Benzin,Mexanika,0,Toshkent,1991
Damas,2023,Chevrolet,1,Benzin,Mexanika,0,Buxoro,2023
Onix,2023,Chevrolet,1,Benzin,Avtomat,0,Samarqand,2023
Damas,2019,Chevrolet,1,Gaz-benzin,Mexanika,0,Toshkent,2019
Nexia3,2018,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2018
Matiz,2018,Chevrolet,4,Benzin,Mexanika,0.8,Toshkent,2018
Matiz,2009,Chevrolet,2,Gaz-benzin,Mexanika,0.8,Farg'ona,2009
Equinox,2021,Chevrolet,1,,Mexanika,0,Toshkent,2021
Damas,2022,Chevrolet,1,Gaz-benzin,Mexanika,0.8,Toshkent,2022
Onix,2023,Chevrolet,1,Benzin,Mexanika,0,Navoiy,2023
Lacetti,2009,Chevrolet,3,Gaz-benzin,Avtomat,1.8,Toshkent,2009
Nexia3,2022,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2022
Nexia2,2015,Chevrolet,4,Benzin,Mexanika,1.6,Toshkent,2015
Gentra,2022,Chevrolet,3,Benzin,Avtomat,1.6,Toshkent,2022
Labo,2023,Chevrolet,1,Benzin,Mexanika,0,Namangan,2023
Gentra,2022,Chevrolet,3,Benzin,Avtomat,1.6,Toshkent,2022
Labo,2023,Chevrolet,1,Benzin,Mexanika,0,Namangan,2023
Gentra,2022,Chevrolet,3,Benzin,Avtomat,1.6,Toshkent,2022
Spark,2020,Chevrolet,4,Benzin,Avtomat,1.3,Buxoro,2020
Cobalt,2014,Chevrolet,2,Benzin,Mexanika,1.5,Toshkent,2014
Spark,2019,Chevrolet,2,Benzin,Mexanika,1.3,Toshkent,2019
Gentra,2022,Chevrolet,3,Benzin,Avtomat,1.6,Toshkent,2022
Damas,2023,Chevrolet,1,Benzin,Mexanika,0.8,Guliston,2023
Tracker,2023,Chevrolet,1,Benzin,Avtomat,1.2,Toshkent,2023
Equinox,2022,Chevrolet,1,Benzin,Avtomat,0,Toshkent,2022
Cobalt,2020,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2020
Gentra,2022,Chevrolet,3,Benzin,Avtomat,1.6,Buxoro,2022
Labo,2023,Chevrolet,1,Benzin,Mexanika,0.8,Namangan,2023
Cobalt,2020,Chevrolet,4,Gaz-benzin,Avtomat,1.5,Samarqand,2020
Cobalt,2023,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2023
Lacetti,2011,Chevrolet,2,Gaz-benzin,Mexanika,1.8,Qo'qon,2011
Nexia3,2022,Chevrolet,4,Benzin,Avtomat,1.5,Navoiy,2022
Monza,2023,Chevrolet,1,Benzin,Avtomat,1.5,Toshkent,2023
Nexia2SOHC,2015,Chevrolet,4,Benzin,Mexanika,1.5,Toshkent,2015
Cobalt,2023,Chevrolet,4,Benzin,Avtomat,1.5,Muborak tumani,2023
Nexia2SOHC,2014,Chevrolet,1,Benzin,Mexanika,1.5,Toshkent,2014
Epica,2007,Chevrolet,3,Benzin,Avtomat,2,Boysun tumani,2007
Labo,2023,Chevrolet,1,Benzin,Mexanika,0,Toshkent,2023
Gentra,2023,Chevrolet,3,Benzin,Avtomat,1.5,Farg'ona,2023
Spark,2012,Chevrolet,2,Benzin,Mexanika,1.3,Toshkent,2012
Cobalt,2020,Chevrolet,4,Benzin,Avtomat,1.5,Nukus,2020
Nexia2,2015,Chevrolet,1,Benzin,Mexanika,1.6,Denov,2015
Damas,2022,Chevrolet,1,Gaz-benzin,Mexanika,0,Buxoro,2022
Malibu2,2022,Chevrolet,1,Benzin,Mexanika,0,Samarqand,2022
Gentra,2018,Chevrolet,3,Gaz-benzin,Avtomat,1.6,Toshkent,2018
Gentra,2022,Chevrolet,2,Gaz-benzin,Mexanika,1.5,Navoiy,2022
Nexia2SOHC,2009,Chevrolet,4,Benzin,Mexanika,1.5,Samarqand,2009
Cobalt,2020,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2020
Onix,2023,Chevrolet,1,Benzin,Mexanika,3,Namangan,2023
Tracker,2023,Chevrolet,3,Benzin,Avtomat,1.2,Toshkent,2023
Spark,2023,Chevrolet,4,Benzin,Avtomat,1.3,Toshkent,2023
Cobalt,2022,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2022
Matiz,2011,Chevrolet,1,Gaz-benzin,Mexanika,0,Toshkent,2011
Nexia3,2019,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2019
Cobalt,2018,Chevrolet,2,Benzin,Mexanika,1.5,Toshkent,2018
Nexia3,2022,Chevrolet,4,Benzin,Avtomat,1.5,Toshkent,2022
Matiz,2002,Chevrolet,2,Benzin,Mexanika,0.8,Olmaliq,2002
Cobalt,2015,Chevrolet,3,Gaz-benzin,Mexanika,1.5,Toshkent,2015
Lacetti,2012,Chevrolet,2,Gaz-benzin,Mexanika,1.8,Toshkent,2012
Orlando,2014,Chevrolet,2,Gaz-benzin,Mexanika,1.8,Bekobod,2014
Tracker,2019,Chevrolet,2,Gaz-benzin,Avtomat,1.8,Toshkent,2019
Nexia3,2019,Chevrolet,2,Benzin,Mexanika,1.5,Toshkent,2019
Tracker,2023,Chevrolet,3,Benzin,Avtomat,0,Samarqand,2023
Monza,2023,Chevrolet,1,Benzin,Avtomat,1.5,Toshkent,2023
